Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
nightsat,out,Newton Road - Parking Ramp,newtramp_o,   , 
nightsat,out,VA Hospital and University Hospitals,vahosp_o, 10:06:00 ,SchedPoint
nightsat,out,Newton and Lincoln,newtlinc_o,   , 
nightsat,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
nightsat,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
nightsat,out,Clear Creek,clrcreek_o,   , 
nightsat,out,5th Street and 2nd Avenue Place,5st2avpl_o,   , 
nightsat,out,5th Street and 4th Avenue,5st4av_o,   , 
nightsat,out,5th Street and 6th Avenue,5st6av_o,   , 
nightsat,out,5th Street and 8th Avenue,5st8av_o,   , 
nightsat,out,5th Street and 10th Avenue - Post Office,5st10av_o, 10:15:00 ,SchedPoint
nightsat,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
nightsat,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
nightsat,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
nightsat,out,20th Avenue and 5th Street,20av5st_o,   , 
nightsat,out,8th Street and 20th Avenue,8st20av_o,   , 
nightsat,out,20th Avenue and 9th Street,20av9st_o,   , 
nightsat,out,9th Street and 20th Avenue Place,9st20av_o,   , 
nightsat,out,9th Street and 21st Avenue,9st21av_o, 10:18:00 ,SchedPoint
nightsat,out,9th Street and Oakleaf,9stoak_o,   , 
nightsat,out,9th Street and 23rd Avenue,9st23av_o,   , 
nightsat,out,23th Avenue and 10th Street,23av10st_o,   , 
nightsat,out,10th Street and North Boston Way,10stnbstn_o,   , 
nightsat,out,10th Street and 25th Avenue,10st25av_o,   , 
nightsat,in,Coral Ridge Mall,crlrdmall_i, 10:22:00 ,SchedPoint
nightsat,in,10th Street and South Boston Way,10stsbstn_i,   , 
nightsat,in,10th Street and 23rd Avenue,10st23av_i,   , 
nightsat,in,10th Street and 22nd Avenue,10st22av_i,   , 
nightsat,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
nightsat,in,10th Street and 20th Avenue,10st20av_i,   , 
nightsat,in,10th Street and 17th Avenue,10st17av_i,   , 
nightsat,in,14th Avenue and 10th Street.,14av10st_i,   , 
nightsat,in,14th Avenue and 9th Street,14av9st_i,   , 
nightsat,in,14th Avenue and 8th Street,14av8st_i, 10:29:00 ,SchedPoint
nightsat,in,8th Street and 12th Avenue,8st12av_i,   , 
nightsat,in,12th Avenue and 7th Street,12av7st_i,   , 
nightsat,in,7th Street and 10th Avenue,7st10av_i,   , 
nightsat,in,7th Street and 7th Avenue,7st7av_i,   , 
nightsat,in,7th Street and 6th Avenue,7st6av_i,   , 
nightsat,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
nightsat,in,4th Ave. and 6th Street,4av6st_i,   , 
nightsat,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 10:35:00 ,SchedPoint
nightsat,in,6th Street and 1st Avenue,6st1av_i,   , 
nightsat,in,1st Avenue and 5th Street,1av5st_i, 10:38:00 ,SchedPoint
nightsat,in,Softball Complex,softball_i,   , 
nightsat,in,Dental College,dentcol_i,   , 
nightsat,in,Hardin Library,hardlib_i, 10:44:00 ,SchedPoint
nightsat,in,MERF,merf_i,   , 
nightsat,in,IIBD,iibd_i,   , 
nightsat,in,EPB,epb_i,   , 
nightsat,in,IMU,imu_i,   , 
nightsat,in,Macbride Hall,machall_i,   , 
nightsat,in,Clinton and Washington - Hidden Arrival,clintwash_a, 10:50:00 ,SchedArrival
nightsat,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 11:00:00 ,Timepoint
nightsat,out,Hubbard Park,hubbard_o,   , 
nightsat,out,Student Health,studhlth_o,   , 
nightsat,out,Newton Road - Parking Ramp,newtramp_o,   , 
nightsat,out,VA Hospital and University Hospitals,vahosp_o, 11:06:00 ,SchedPoint
nightsat,out,Newton and Lincoln,newtlinc_o,   , 
nightsat,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
