agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
uiowa,Cambus,http://www.uiowa.edu/~cambus/,America/Chicago,en,319-335-8633
iowa-city,Iowa City,http://www.icgov.org/default/?id=1519,America/Chicago,en,319-356-5151
coralville,Coralville,http://coralville.org/index.aspx?nid=166,America/Chicago,en,319-248-1700
